苛化度苛化作用苛化率	ChemEntity+++苛化度苛化作用苛化率
表面阻力	ChemEntity+++表面阻力
表面粘度	ChemEntity+++表面粘度
浮游物质	ChemEntity+++浮游物质
悬浮剂	ChemEntity+++悬浮剂
悬胶质	ChemEntity+++悬胶质
悬垂碍子	ChemEntity+++悬垂碍子
悬浮聚合	ChemEntity+++悬浮聚合
脱硫汽油	ChemEntity+++脱硫汽油
甜炼乳	ChemEntity+++甜炼乳
膨润	ChemEntity+++膨润
膨润剂	ChemEntity+++膨润剂
膨润压力	ChemEntity+++膨润压力
开关油	ChemEntity+++开关油
对称矩阵	ChemEntity+++对称矩阵
对称轴	ChemEntity+++对称轴
对称类	ChemEntity+++对称类
隐显墨水	ChemEntity+++隐显墨水
交感反应	ChemEntity+++交感反应
同步示波器	ChemEntity+++同步示波器
同步加速器	ChemEntity+++同步加速器
间同立构聚合物	ChemEntity+++间同立构聚合物
脱水收缩	ChemEntity+++脱水收缩
协同酌	ChemEntity+++协同酌
合成酶	ChemEntity+++合成酶
合成染料	ChemEntity+++合成染料
合成石膏	ChemEntity+++合成石膏
合成胶乳	ChemEntity+++合成胶乳
合成云母	ChemEntity+++合成云母
合成香料	ChemEntity+++合成香料
合成尸	ChemEntity+++合成尸
合成丹宁	ChemEntity+++合成丹宁
合成沸石	ChemEntity+++合成沸石
合成品	ChemEntity+++合成品
辛托合成过程	ChemEntity+++辛托合成过程
内吸杀虫剂	ChemEntity+++内吸杀虫剂
平板给料机	ChemEntity+++平板给料机
平片状结晶	ChemEntity+++平片状结晶
碳化钽	ChemEntity+++碳化钽
转数计	ChemEntity+++转数计
环裂甾醇	ChemEntity+++环裂甾醇
粘着性	ChemEntity+++粘着性
凝聚溶胶	ChemEntity+++凝聚溶胶
塔菲尔换位	ChemEntity+++塔菲尔换位
泰格密闭闪点试验器	ChemEntity+++泰格密闭闪点试验器
尾矿	ChemEntity+++尾矿
妥尔油	ChemEntity+++妥尔油
塔洛糖	ChemEntity+++塔洛糖
槽显影	ChemEntity+++槽显影
槽炉	ChemEntity+++槽炉
丹宁酶	ChemEntity+++丹宁酶
丹宁	ChemEntity+++丹宁
酸黑染料	ChemEntity+++酸黑染料
丹宁提取物	ChemEntity+++丹宁提取物
丹宁媒染	ChemEntity+++丹宁媒染
亚甲丹宁	ChemEntity+++亚甲丹宁
钽酸盐	ChemEntity+++钽酸盐
钽酸	ChemEntity+++钽酸
钽铁矿	ChemEntity+++钽铁矿
氧化钽	ChemEntity+++氧化钽
龙头廉泵	ChemEntity+++龙头廉泵
焦油酸	ChemEntity+++焦油酸
焦油碱	ChemEntity+++焦油碱
焦油蒸馏	ChemEntity+++焦油蒸馏
沥青重油	ChemEntity+++沥青重油
沥青轻油	ChemEntity+++沥青轻油
沥青中油	ChemEntity+++沥青中油
焦油分离器	ChemEntity+++焦油分离器
焦油值	ChemEntity+++焦油值
焦油下水	ChemEntity+++焦油下水
皮重	ChemEntity+++皮重
变暗	ChemEntity+++变暗
煤焦油材料	ChemEntity+++煤焦油材料
酒石酸盐	ChemEntity+++酒石酸盐
丙醇二酸	ChemEntity+++丙醇二酸
微压计	ChemEntity+++微压计
牛磺胆酸	ChemEntity+++牛磺胆酸
互变异构变化	ChemEntity+++互变异构变化
泰勒级数	ChemEntity+++泰勒级数
催泪性毒气	ChemEntity+++催泪性毒气
撕破强度	ChemEntity+++撕破强度
催泪性	ChemEntity+++催泪性
工业大气压	ChemEntity+++工业大气压
工业试药	ChemEntity+++工业试药
特克卢燃烧器	ChemEntity+++特克卢燃烧器
特弗隆	ChemEntity+++特弗隆
亚碲酸盐	ChemEntity+++亚碲酸盐
帝物	ChemEntity+++帝物
第聚合酌	ChemEntity+++第聚合酌
回火碳	ChemEntity+++回火碳
回火硬化	ChemEntity+++回火硬化
电阻温度系数	ChemEntity+++电阻温度系数
色温标	ChemEntity+++色温标
温度第	ChemEntity+++温度第
温度校正	ChemEntity+++温度校正
温度依存性	ChemEntity+++温度依存性
指示温度化合物	ChemEntity+++指示温度化合物
温度指示器	ChemEntity+++温度指示器
温度突变法	ChemEntity+++温度突变法
温度第器	ChemEntity+++温度第器
温标	ChemEntity+++温标
温差应力	ChemEntity+++温差应力
淬火用油	ChemEntity+++淬火用油
模板反应	ChemEntity+++模板反应
暂时硬度	ChemEntity+++暂时硬度
砷铜矿	ChemEntity+++砷铜矿
黑铜矿	ChemEntity+++黑铜矿
受拉应变	ChemEntity+++受拉应变
拉力试验	ChemEntity+++拉力试验
表面张力计	ChemEntity+++表面张力计
松节油精	ChemEntity+++松节油精
对酞醛	ChemEntity+++对酞醛
对酞酸	ChemEntity+++对酞酸
三元合金	ChemEntity+++三元合金
三元化合物	ChemEntity+++三元化合物
三重点	ChemEntity+++三重点
萜烯	ChemEntity+++萜烯
萜烯醇	ChemEntity+++萜烯醇
萜烯酯	ChemEntity+++萜烯酯
萜品油烯	ChemEntity+++萜品油烯
三元共聚物	ChemEntity+++三元共聚物
混合陶器赤陶土	ChemEntity+++混合陶器赤陶土
土霉素	ChemEntity+++土霉素
叔胺	ChemEntity+++叔胺
假设检验	ChemEntity+++假设检验
试验车间	ChemEntity+++试验车间
四溴代乙烯	ChemEntity+++四溴代乙烯
四羧	ChemEntity+++四羧
四氯代苯	ChemEntity+++四氯代苯
廿四碳烷	ChemEntity+++廿四碳烷
四氢化葵	ChemEntity+++四氢化葵
四氢化萘	ChemEntity+++四氢化萘
四聚物	ChemEntity+++四聚物
四甲撑二胺	ChemEntity+++四甲撑二胺
四糖	ChemEntity+++四糖
四硅烷	ChemEntity+++四硅烷
特屈儿	ChemEntity+++特屈儿
纺织助剂	ChemEntity+++纺织助剂
纺织化学	ChemEntity+++纺织化学
纺织用纤维	ChemEntity+++纺织用纤维
织物完成加工	ChemEntity+++织物完成加工
纺织工业	ChemEntity+++纺织工业
纺织用油	ChemEntity+++纺织用油
织物印花	ChemEntity+++织物印花
丝光皂	ChemEntity+++丝光皂
构造组织	ChemEntity+++构造组织
天然无水芒硝	ChemEntity+++天然无水芒硝
最小熵产生定理	ChemEntity+++最小熵产生定理
理论空气量	ChemEntity+++理论空气量
理论有机化学	ChemEntity+++理论有机化学
理论板	ChemEntity+++理论板
理论反应温度	ChemEntity+++理论反应温度
理论收率	ChemEntity+++理论收率
高聚物溶液论	ChemEntity+++高聚物溶液论
相似理论	ChemEntity+++相似理论
热吸收	ChemEntity+++热吸收
热活化	ChemEntity+++热活化
热分析	ChemEntity+++热分析
热炭黑	ChemEntity+++热炭黑
热扩散系数	ChemEntity+++热扩散系数
热力离解	ChemEntity+++热力离解
热膨胀	ChemEntity+++热膨胀
热中子	ChemEntity+++热中子
热重整	ChemEntity+++热重整
热敏电阻器	ChemEntity+++热敏电阻器
热冲击	ChemEntity+++热冲击
热离子	ChemEntity+++热离子
热离子电流	ChemEntity+++热离子电流
热天平	ChemEntity+++热天平
示温涂料	ChemEntity+++示温涂料
温差电偶	ChemEntity+++温差电偶
热电偶式真空计	ChemEntity+++热电偶式真空计
热力平衡	ChemEntity+++热力平衡
热力势	ChemEntity+++热力势
热弹性	ChemEntity+++热弹性
热元件	ChemEntity+++热元件
热电流	ChemEntity+++热电流
热电偶高温计	ChemEntity+++热电偶高温计
热电致冷	ChemEntity+++热电致冷
温差电动势	ChemEntity+++温差电动势
热电子放射	ChemEntity+++热电子放射
温度记录器	ChemEntity+++温度记录器
热重量分析	ChemEntity+++热重量分析
热发光	ChemEntity+++热发光
测温分析	ChemEntity+++测温分析
测温滴定	ChemEntity+++测温滴定
热核反应	ChemEntity+++热核反应
耐热细菌	ChemEntity+++耐热细菌
热塑尸	ChemEntity+++热塑尸
热塑塑料	ChemEntity+++热塑塑料
热选择的芳化	ChemEntity+++热选择的芳化
热硬化胶着剂	ChemEntity+++热硬化胶着剂
热固性尸	ChemEntity+++热固性尸
恒温双金属	ChemEntity+++恒温双金属
热熔液晶	ChemEntity+++热熔液晶
二磷酸硫胺	ChemEntity+++二磷酸硫胺
噻嗪	ChemEntity+++噻嗪
噻嗪染料	ChemEntity+++噻嗪染料
噻唑染料	ChemEntity+++噻唑染料
硫代酸	ChemEntity+++硫代酸
硫缩醛	ChemEntity+++硫缩醛
胺苯硫脲	ChemEntity+++胺苯硫脲
乙硫醛	ChemEntity+++乙硫醛
硫代酰胺	ChemEntity+++硫代酰胺
硫代碳酸盐	ChemEntity+++硫代碳酸盐
二氯硫化碳	ChemEntity+++二氯硫化碳
硫色素	ChemEntity+++硫色素
愈创木酚磺酸钾	ChemEntity+++愈创木酚磺酸钾
硫代甲酚	ChemEntity+++硫代甲酚
硫氰酸酯	ChemEntity+++硫氰酸酯
硫化氰	ChemEntity+++硫化氰
硫丹	ChemEntity+++硫丹
硫靛	ChemEntity+++硫靛
硫羟	ChemEntity+++硫羟
硫羟酸	ChemEntity+++硫羟酸
硫羰酸	ChemEntity+++硫羰酸
亚氨嗪	ChemEntity+++亚氨嗪
硫羰代硫羰酸	ChemEntity+++硫羰代硫羰酸
亚硫酰二氯	ChemEntity+++亚硫酰二氯
硫光气	ChemEntity+++硫光气
硫塑料	ChemEntity+++硫塑料
硫糖	ChemEntity+++硫糖
硫脲素	ChemEntity+++硫脲素
福美双	ChemEntity+++福美双
三级反应	ChemEntity+++三级反应
秋兰姆	ChemEntity+++秋兰姆
托马斯转炉	ChemEntity+++托马斯转炉
汤姆逊原子模型	ChemEntity+++汤姆逊原子模型
杆沸石	ChemEntity+++杆沸石
氧化钍	ChemEntity+++氧化钍
氯化钍	ChemEntity+++氯化钍
苏反应	ChemEntity+++苏反应
思考实验	ChemEntity+++思考实验
三原色印刷	ChemEntity+++三原色印刷
三维结构	ChemEntity+++三维结构
三辊式轧机	ChemEntity+++三辊式轧机
临界剂量	ChemEntity+++临界剂量
极限处理	ChemEntity+++极限处理
炉顶	ChemEntity+++炉顶
炉口	ChemEntity+++炉口
炉顶操专	ChemEntity+++炉顶操专
凝血酶	ChemEntity+++凝血酶
促凝血酶	ChemEntity+++促凝血酶
生产能力量	ChemEntity+++生产能力量
侧柏酮	ChemEntity+++侧柏酮
胸苷酸	ChemEntity+++胸苷酸
百里香醌	ChemEntity+++百里香醌
甲状腺激素	ChemEntity+++甲状腺激素
促甲状腺激素	ChemEntity+++促甲状腺激素
替比昂	ChemEntity+++替比昂
长时间曝光	ChemEntity+++长时间曝光
时间分辨光谱法	ChemEntity+++时间分辨光谱法
时序列	ChemEntity+++时序列
时序列分析	ChemEntity+++时序列分析
用锡媒染	ChemEntity+++用锡媒染
锡瘟	ChemEntity+++锡瘟
原硼砂	ChemEntity+++原硼砂
色调色彩	ChemEntity+++色调色彩
轮胎帘布	ChemEntity+++轮胎帘布
轮胎压模	ChemEntity+++轮胎压模
轮胎胶料	ChemEntity+++轮胎胶料
组织薄纸	ChemEntity+++组织薄纸
钛酸盐	ChemEntity+++钛酸盐
钛酸	ChemEntity+++钛酸
氧化钛	ChemEntity+++氧化钛
钛颜料	ChemEntity+++钛颜料
钛盐滴定法	ChemEntity+++钛盐滴定法
滴定法被测溶液	ChemEntity+++滴定法被测溶液
滴定曲线	ChemEntity+++滴定曲线
容量因数	ChemEntity+++容量因数
硝酸铵炸药	ChemEntity+++硝酸铵炸药
托拜厄斯酸	ChemEntity+++托拜厄斯酸
生育酚	ChemEntity+++生育酚
香皂	ChemEntity+++香皂
容限	ChemEntity+++容限
妥卢香脂	ChemEntity+++妥卢香脂
甲苯磺酰胺	ChemEntity+++甲苯磺酰胺
甲苯磺酸	ChemEntity+++甲苯磺酸
甲苯酸	ChemEntity+++甲苯酸
甲苯醌	ChemEntity+++甲苯醌
番茄碱	ChemEntity+++番茄碱
但剂	ChemEntity+++但剂
表面涂层	ChemEntity+++表面涂层
表层发酵	ChemEntity+++表层发酵
上面酵母	ChemEntity+++上面酵母
局部化学控制	ChemEntity+++局部化学控制
局部化学反应	ChemEntity+++局部化学反应
局部化学	ChemEntity+++局部化学
拓扑空间	ChemEntity+++拓扑空间
拔顶蒸去轻油着色	ChemEntity+++拔顶蒸去轻油着色
扭曲试验	ChemEntity+++扭曲试验
扭力粘度计	ChemEntity+++扭力粘度计
圆酵母	ChemEntity+++圆酵母
全分析	ChemEntity+++全分析
总灰分	ChemEntity+++总灰分
完全冷凝器	ChemEntity+++完全冷凝器
总硬度	ChemEntity+++总硬度
全损失	ChemEntity+++全损失
总水分	ChemEntity+++总水分
全压力	ChemEntity+++全压力
总合成	ChemEntity+++总合成
导火纸	ChemEntity+++导火纸
韧性滤纸	ChemEntity+++韧性滤纸
塔式粉碎机	ChemEntity+++塔式粉碎机
城市煤气	ChemEntity+++城市煤气
毒剂	ChemEntity+++毒剂
毒物学	ChemEntity+++毒物学
类毒素	ChemEntity+++类毒素
痕量化学	ChemEntity+++痕量化学
微量元素肥料	ChemEntity+++微量元素肥料
商品名称	ChemEntity+++商品名称
镇静剂	ChemEntity+++镇静剂
转移效应	ChemEntity+++转移效应
反式	ChemEntity+++反式
反式异构体	ChemEntity+++反式异构体
氨基转移	ChemEntity+++氨基转移
跨环相互酌	ChemEntity+++跨环相互酌
传递模塑	ChemEntity+++传递模塑
转移酶	ChemEntity+++转移酶
转换常数	ChemEntity+++转换常数
转换点	ChemEntity+++转换点
变压仆	ChemEntity+++变压仆
过渡平衡	ChemEntity+++过渡平衡
过渡淀粉	ChemEntity+++过渡淀粉
转变点	ChemEntity+++转变点
转移概率	ChemEntity+++转移概率
转变温度	ChemEntity+++转变温度
迁移时间	ChemEntity+++迁移时间
过渡时间常数	ChemEntity+++过渡时间常数
半透媒	ChemEntity+++半透媒
甲基转移酌	ChemEntity+++甲基转移酌
透过	ChemEntity+++透过
透射系数	ChemEntity+++透射系数
元素蜕变	ChemEntity+++元素蜕变
透萌试验机	ChemEntity+++透萌试验机
透庙	ChemEntity+++透庙
输运系数	ChemEntity+++输运系数
捕获电子	ChemEntity+++捕获电子
特劳茨尔试验	ChemEntity+++特劳茨尔试验
镀金前处理	ChemEntity+++镀金前处理
三乙酸酯	ChemEntity+++三乙酸酯
三价碱	ChemEntity+++三价碱
三角形图解	ChemEntity+++三角形图解
三原子状	ChemEntity+++三原子状
三唑	ChemEntity+++三唑
摩擦化学	ChemEntity+++摩擦化学
摩擦发光	ChemEntity+++摩擦发光
不均三氯乙烷	ChemEntity+++不均三氯乙烷
三氯硝基甲烷	ChemEntity+++三氯硝基甲烷
三色性	ChemEntity+++三色性
廿三烷	ChemEntity+++廿三烷
磷酸三个甲苯酯	ChemEntity+++磷酸三个甲苯酯
三乙烯亚胺三嗪	ChemEntity+++三乙烯亚胺三嗪
三月桂精	ChemEntity+++三月桂精
三聚物	ChemEntity+++三聚物
三亚甲基三硝基胺	ChemEntity+++三亚甲基三硝基胺
三分子反应	ChemEntity+++三分子反应
三油精	ChemEntity+++三油精
丙糖	ChemEntity+++丙糖
三氧杂环己烷	ChemEntity+++三氧杂环己烷
三棕榈精	ChemEntity+++三棕榈精
三苯甲烷染料	ChemEntity+++三苯甲烷染料
三重络合物	ChemEntity+++三重络合物
三重线	ChemEntity+++三重线
三重线态	ChemEntity+++三重线态
风化硅石	ChemEntity+++风化硅石
三聚磷酸盐	ChemEntity+++三聚磷酸盐
三糖	ChemEntity+++三糖
丙硅烷	ChemEntity+++丙硅烷
三硬脂精	ChemEntity+++三硬脂精
三硫化合物	ChemEntity+++三硫化合物
三萜烯	ChemEntity+++三萜烯
连三硫酸	ChemEntity+++连三硫酸
托品酸	ChemEntity+++托品酸
原胶原	ChemEntity+++原胶原
托酚酮	ChemEntity+++托酚酮
原肌球蛋白	ChemEntity+++原肌球蛋白
环庚三烯酮	ChemEntity+++环庚三烯酮
梯遁	ChemEntity+++梯遁
特鲁顿法则	ChemEntity+++特鲁顿法则
真实酸度	ChemEntity+++真实酸度
真纯度	ChemEntity+++真纯度
胰朊酶	ChemEntity+++胰朊酶
管式磨	ChemEntity+++管式磨
管状反应器	ChemEntity+++管状反应器
凝灰岩	ChemEntity+++凝灰岩
钨酸盐	ChemEntity+++钨酸盐
二氧化钨	ChemEntity+++二氧化钨
钨丝	ChemEntity+++钨丝
氧化钨	ChemEntity+++氧化钨
钨酐	ChemEntity+++钨酐
隧道式干燥机	ChemEntity+++隧道式干燥机
隧道式窑	ChemEntity+++隧道式窑
浊度计	ChemEntity+++浊度计
浊度滴定	ChemEntity+++浊度滴定
汽轮式搅拌器	ChemEntity+++汽轮式搅拌器
涡轮压缩机	ChemEntity+++涡轮压缩机
两色效应	ChemEntity+++两色效应
二维色谱法	ChemEntity+++二维色谱法
两级压气机	ChemEntity+++两级压气机
二路栓	ChemEntity+++二路栓
活字合金	ChemEntity+++活字合金
酪胶	ChemEntity+++酪胶
短杆菌酪素	ChemEntity+++短杆菌酪素
酪氨酸酶	ChemEntity+++酪氨酸酶
短杆菌素	ChemEntity+++短杆菌素
乌比醌类	ChemEntity+++乌比醌类
乌尔曼反应	ChemEntity+++乌尔曼反应
极度真空	ChemEntity+++极度真空
超促进剂	ChemEntity+++超促进剂
超高分子量聚重物	ChemEntity+++超高分子量聚重物
红外线干燥	ChemEntity+++红外线干燥
超离心法	ChemEntity+++超离心法
超滤器	ChemEntity+++超滤器
超过滤膜	ChemEntity+++超过滤膜
超细过滤	ChemEntity+++超细过滤
超细纤维	ChemEntity+++超细纤维
超细粒子	ChemEntity+++超细粒子
超细粉	ChemEntity+++超细粉
超微量化学	ChemEntity+++超微量化学
超微粒子	ChemEntity+++超微粒子
超倍显微镜	ChemEntity+++超倍显微镜
超声波量计	ChemEntity+++超声波量计
超声波断层显微分析	ChemEntity+++超声波断层显微分析
紫外线吸收固定剂	ChemEntity+++紫外线吸收固定剂
紫外线照相	ChemEntity+++紫外线照相
紫外辐射	ChemEntity+++紫外辐射
紫外线显微镜	ChemEntity+++紫外线显微镜
紫外线透过玻璃	ChemEntity+++紫外线透过玻璃
紫外线分光光度测定法	ChemEntity+++紫外线分光光度测定法
紫外线稳定剂	ChemEntity+++紫外线稳定剂
棕土	ChemEntity+++棕土
未漂白纸浆	ChemEntity+++未漂白纸浆
无支链分子	ChemEntity+++无支链分子
砖坯	ChemEntity+++砖坯
十一碳烯酸	ChemEntity+++十一碳烯酸
十一碳醇	ChemEntity+++十一碳醇
欠硫化	ChemEntity+++欠硫化
照射不足	ChemEntity+++照射不足
染色不匀	ChemEntity+++染色不匀
去毛	ChemEntity+++去毛
均匀收敛	ChemEntity+++均匀收敛
等速运动	ChemEntity+++等速运动
均质性	ChemEntity+++均质性
均匀系数	ChemEntity+++均匀系数
联合比色计	ChemEntity+++联合比色计
混纺纱	ChemEntity+++混纺纱
单位矩阵	ChemEntity+++单位矩阵
热量单位	ChemEntity+++热量单位
单元操作	ChemEntity+++单元操作
单元过程	ChemEntity+++单元过程
幺正矩阵	ChemEntity+++幺正矩阵
万用电桥	ChemEntity+++万用电桥
通用常数	ChemEntity+++通用常数
万用显影剂	ChemEntity+++万用显影剂
通用气体常数	ChemEntity+++通用气体常数
未处理油料	ChemEntity+++未处理油料
上流上升气流	ChemEntity+++上流上升气流
乌拉米尔	ChemEntity+++乌拉米尔
铀酸盐	ChemEntity+++铀酸盐
铀酸	ChemEntity+++铀酸
荧光素钠	ChemEntity+++荧光素钠
晶质铀矿	ChemEntity+++晶质铀矿
二氧化铀	ChemEntity+++二氧化铀
氟化铀	ChemEntity+++氟化铀
铀玻璃	ChemEntity+++铀玻璃
氧化铀	ChemEntity+++氧化铀
醋酸双氧铀	ChemEntity+++醋酸双氧铀
氯化双氧铀	ChemEntity+++氯化双氧铀
铀酰化合物	ChemEntity+++铀酰化合物
硝酸双氧铀	ChemEntity+++硝酸双氧铀
铀酰盐	ChemEntity+++铀酰盐
硫酸双氧铀	ChemEntity+++硫酸双氧铀
尿酸盐	ChemEntity+++尿酸盐
尿素加合物	ChemEntity+++尿素加合物
脲醛尸	ChemEntity+++脲醛尸
尿素尸	ChemEntity+++尿素尸
尿素尸清漆	ChemEntity+++尿素尸清漆
尿素酶	ChemEntity+++尿素酶
酰脲	ChemEntity+++酰脲
尿色素	ChemEntity+++尿色素
尿激酶	ChemEntity+++尿激酶
糖羰酸	ChemEntity+++糖羰酸
乌酸	ChemEntity+++乌酸
漆酚	ChemEntity+++漆酚
废油	ChemEntity+++废油
松萝酸	ChemEntity+++松萝酸
透紫外线玻璃	ChemEntity+++透紫外线玻璃
乌沙甙元	ChemEntity+++乌沙甙元
空格点	ChemEntity+++空格点
菌苗	ChemEntity+++菌苗
液泡	ChemEntity+++液泡
真空装置	ChemEntity+++真空装置
真空冷凝点	ChemEntity+++真空冷凝点
真空结晶器	ChemEntity+++真空结晶器
真空镀膜	ChemEntity+++真空镀膜
真空过滤器	ChemEntity+++真空过滤器
真空过滤	ChemEntity+++真空过滤
真空瓶	ChemEntity+++真空瓶
真空技术	ChemEntity+++真空技术
真空式绝缘	ChemEntity+++真空式绝缘
渗廉	ChemEntity+++渗廉
迷走紧张素	ChemEntity+++迷走紧张素
锑华	ChemEntity+++锑华
戊酰胺	ChemEntity+++戊酰胺
同位素混合物价值	ChemEntity+++同位素混合物价值
润阀油	ChemEntity+++润阀油
蚜灭多	ChemEntity+++蚜灭多
范德瓦耳斯状态方程	ChemEntity+++范德瓦耳斯状态方程
范德瓦耳斯力	ChemEntity+++范德瓦耳斯力
范德瓦耳斯分子	ChemEntity+++范德瓦耳斯分子
